 ,Label,Area,Circ.,AR,Round,Solidity
98,sample1_thresholded.tif,262.795,0.822,1.386,0.721,0.939
99,sample1_thresholded.tif,188.013,0.885,1.366,0.732,0.946
100,sample1_thresholded.tif,188.858,0.908,1.238,0.808,0.944
101,sample1_thresholded.tif,151.678,0.786,1.697,0.589,0.905
102,sample1_thresholded.tif,130.975,0.683,1.815,0.551,0.912
103,sample1_thresholded.tif,235.333,0.787,1.613,0.620,0.931
104,sample1_thresholded.tif,207.025,0.817,1.536,0.651,0.929
105,sample1_thresholded.tif,352.365,0.889,1.283,0.779,0.952
106,sample1_thresholded.tif,224.770,0.885,1.039,0.963,0.945
107,sample1_thresholded.tif,148.720,0.871,1.249,0.801,0.926
108,sample1_thresholded.tif,213.785,0.905,1.145,0.874,0.945
109,sample1_thresholded.tif,205.758,0.890,1.113,0.898,0.935
110,sample1_thresholded.tif,195.618,0.830,1.366,0.732,0.937
111,sample1_thresholded.tif,163.930,0.880,1.241,0.806,0.937
112,sample1_thresholded.tif,149.565,0.848,1.144,0.874,0.935
113,sample1_thresholded.tif,197.730,0.832,1.483,0.674,0.931
114,sample1_thresholded.tif,261.950,0.825,1.057,0.946,0.924
115,sample1_thresholded.tif,194.350,0.926,1.100,0.909,0.948
116,sample1_thresholded.tif,244.205,0.861,1.358,0.736,0.948
117,sample1_thresholded.tif,235.333,0.836,1.668,0.599,0.955
118,sample1_thresholded.tif,470.665,0.743,1.752,0.571,0.918
119,sample1_thresholded.tif,163.508,0.833,1.617,0.619,0.936
120,sample1_thresholded.tif,179.563,0.771,1.789,0.559,0.926
121,sample1_thresholded.tif,223.080,0.862,1.266,0.790,0.935
122,sample1_thresholded.tif,201.110,0.901,1.057,0.946,0.937
123,sample1_thresholded.tif,436.443,0.692,1.812,0.552,0.897
124,sample1_thresholded.tif,186.323,0.827,1.657,0.604,0.936
125,sample1_thresholded.tif,362.083,0.751,1.759,0.569,0.939
126,sample1_thresholded.tif,198.153,0.864,1.038,0.963,0.927
127,sample1_thresholded.tif,182.943,0.892,1.284,0.779,0.941
128,sample1_thresholded.tif,215.475,0.865,1.498,0.667,0.944
129,sample1_thresholded.tif,256.880,0.805,1.642,0.609,0.933
130,sample1_thresholded.tif,248.430,0.819,1.620,0.617,0.945
131,sample1_thresholded.tif,218.855,0.869,1.262,0.792,0.942
132,sample1_thresholded.tif,158.015,0.727,1.772,0.564,0.901
133,sample1_thresholded.tif,231.108,0.739,1.731,0.578,0.919
134,sample1_thresholded.tif,242.093,0.819,1.459,0.685,0.931
135,sample1_thresholded.tif,211.250,0.871,1.170,0.855,0.944
136,sample1_thresholded.tif,570.376,0.787,1.659,0.603,0.939
137,sample1_thresholded.tif,172.803,0.861,1.297,0.771,0.930
138,sample1_thresholded.tif,157.170,0.863,1.425,0.702,0.931
139,sample1_thresholded.tif,228.573,0.860,1.443,0.693,0.941
140,sample1_thresholded.tif,241.248,0.817,1.169,0.856,0.925
141,sample1_thresholded.tif,163.085,0.796,1.338,0.748,0.923
142,sample1_thresholded.tif,190.970,0.860,1.311,0.763,0.929
143,sample1_thresholded.tif,232.798,0.842,1.508,0.663,0.939
144,sample1_thresholded.tif,205.758,0.927,1.144,0.874,0.951
145,sample1_thresholded.tif,218.855,0.867,1.386,0.722,0.940
146,sample1_thresholded.tif,227.728,0.902,1.283,0.780,0.951
